A cheap yet powerful computer is what I need.	3	2	1	8	7
I want a quick computer with reasonable price.	3	7	2	8	4
I need a computer that comes with reasonable price and runs games well.	3	2	1	8	7
I need a new laptop that is fast and has a nice backlit keyboard.	4	4	2	9	3
Our business need a computer that comes with a high performance-cost ratio.	3	8	3	8	0
I want a light computer which can runs fast.	3	7	2	8	4
I am finding a computer with great price.	3	7	3	8	0
I need a low priced mechine that is easy to setyp and sound greatly.	3	0	0	8	2
I am trying to change my perfence in branding and I need a light computer.	2	5	2	3	3
A light computer is what I need.	3	2	1	8	7
I need a computer that is easy to get started.	3	7	5	4	0
I need a new computer for myself that feel nice and run games well.	3	7	3	8	0
I need a light computer so I can carry it around.	3	9	3	9	3
I want to have a light and sturdy computer.	3	1	1	8	6
I am in need of a new computer that is fast and slim.	3	7	3	8	3
I have a number of files that need good memory to store them.	3	1	2	8	6
I am a software engineer and I need a fast computer with nice graphics.	3	7	3	3	0
I want to find a fast computer for my cousin.	3	9	3	8	0
I want a computer with long battery life.	3	7	2	8	0
I want a compact computer which can do fast browsing.	0	6	0	2	2
I need a functional yet inexpensive model.	3	6	2	8	3
I would like to have a new computer that has great colours.	3	0	0	8	2
I am finding a solid computer with a lighted charger.	3	7	3	8	0
Quality and price must be balanced for my new computer.	2	6	3	8	3
I want a light laptop which can startup fast.	3	5	2	3	3
I want a computer with good performance and low cost.	3	0	0	8	2
I am finding the best computer with the most reasonable price that can run games smoothly.	3	2	1	8	7
My old laptop has a broken screen and I want a more good looking one.	2	7	3	8	3
I need a good keypad on my computer to get my job done.	3	9	3	9	3
I need the computer to be big for me with a nice sound output.	3	6	2	9	3
I like playing games so games should be able to run fast on the new computer.	3	2	1	8	7
I won't pay too much money for a good computer.	3	7	3	8	0
I don't enjoy waiting so I need the computer to startup fast.	3	7	3	8	3
I care about the feel so the computer should be solid enough.	3	9	3	8	0
I am in need of a new computer that is sleek and compact.	2	6	3	8	3
I need a computer that stays within my budget.	3	1	0	7	5
My gaming niece wants some right specs for his computer.	3	7	3	8	0
I need the computer to perform great in gaming.	3	7	2	8	0
I am trying to find a new computer that comes with good design and light weight.	3	6	3	8	3
I need a fast computer to do basic home stuff.	3	4	2	8	3
I need a cheap computer with solid build quality and awesome cooling system.	3	7	2	8	0
I need the processor to be fast and responsive on my next computer.	3	7	3	8	3
I need a fast computer.	3	7	2	8	0
I am saving money so I want a well priced computer.	3	1	0	8	2
I am finding the best computer for my money.	2	9	0	2	2
I am finding a fast computer that runs smoothly.	4	4	2	9	3
All I need on a computer is high bootup speed and great graphics.	3	9	3	8	1
My husband has to go for business trip so he needs a laptop with perfect size.	0	9	0	2	4
I need a worthy computer with nice configuration.	3	7	3	8	3
I need a computer that run any games well.	3	6	3	8	0
I enjoy gaming and I am finding myself a computer that handle that with ease.	4	7	3	8	0
